algo.asNode(nodeId).Airport_name,centrality
Tampa International Airport,0.3295760082730093
Paris-Orly Airport,0.32937164117403883
Budapest Liszt Ferenc International Airport,0.32933760462953393
Henri Coandă International Airport,0.32889576883384936
Cincinnati Northern Kentucky International Airport,0.32889576883384936
Baltimore/Washington International Thurgood Marshall Airport,0.3284551169741317
Pittsburgh International Airport,0.3281507413509061
Larnaca International Airport,0.3277794919263602
Simón Bolívar International Airport,0.3277120822622108
Sangster International Airport,0.3276110197368421
Muscat International Airport,0.3273082058128787
Heydar Aliyev International Airport,0.3271738014577559
Auckland International Airport,0.32707307060755336
Stuttgart Airport,0.32673774861595245
Malé International Airport,0.3267042542286007
Jinnah International Airport,0.3263362686872824
Bahrain International Airport,0.3261692764302528
Belgrade Nikola Tesla Airport,0.32596911117929833
Tolmachevo Airport,0.3258691206543967
Edmonton International Airport,0.3256693235234008
Léopold Sédar Senghor International Airport,0.3254697712418301
Riga International Airport,0.3254365363014398
Kempegowda International Airport,0.32530366438705727
Edinburgh Airport,0.3252040816326531
Koltsovo Airport,0.3252040816326531
Raleigh Durham International Airport,0.32517090092847667
Marseille Provence Airport,0.3251377269944909
Kotoka International Airport,0.32503824579296275
Francisco de Sá Carneiro Airport,0.32470708099847173
Ronald Reagan Washington National Airport,0.32464092900071306
Beirut Rafic Hariri International Airport,0.32414564686737185
Juan Santamaria International Airport,0.32411268178582325
Luis Munoz Marin International Airport,0.32398088848226086
Austin Bergstrom International Airport,0.3231596025147029
José Martí International Airport,0.3230613279270147
Monseñor Óscar Arnulfo Romero International Airport,0.32286495795765374
Hazrat Shahjalal International Airport,0.32276686246708525
King Fahd International Airport,0.3222772777833957
Fukuoka Airport,0.3222772777833957
Bologna Guglielmo Marconi Airport,0.32204931285367827
Soekarno-Hatta International Airport,0.32204931285367827
Palma De Mallorca Airport,0.32195171229417113
Minsk National Airport,0.3215943491422805
Xiamen Gaoqi International Airport,0.3215619009181717
Ottawa Macdonald-Cartier International Airport,0.32139975796692216
Hangzhou Xiaoshan International Airport,0.32133494656180683
Cologne Bonn Airport,0.32114066908504635
Princess Juliana International Airport,0.32114066908504635
Chennai International Airport,0.32114066908504635
Toulouse-Blagnac Airport,0.3210112812248187
Nanjing Lukou Airport,0.3210112812248187
Newcastle Airport,0.3206560016098199
Las Américas International Airport,0.3199477964059833
St Louis Lambert International Airport,0.31985146527499
Berlin-Schönefeld Airport,0.3197872767409191
Lynden Pindling International Airport,0.3197872767409191
Alicante International Airport,0.3196910422309158
Tbilisi International Airport,0.3196269180623809
Norman Y. Mineta San Jose International Airport,0.3194026859089998
Valencia Airport,0.31921073717948717
